address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Risuniementie 31, Muurikkala, Miehikkälä",https://www.etuovi.com/kohde/577438,"tupakeittiö, makuutila, s, terassi",2,NO,89500.0,27.0,1978,89500.0,60.6870693,27.9114829,194 km,2 hours 2 mins,2024-07-08,2024-08-05
"Unarintie 894, Meltaus, Rovaniemi",https://www.etuovi.com/kohde/21518522,Tupa + k + mh + et + wc + terassi,2,NO,97000.0,40.0,1986,97000.0,66.9882868,25.5104425,888 km,10 hours 3 mins,2024-07-08,2024-08-05
"Hakamäentie 38, Luhalahti, Ikaalinen",https://www.etuovi.com/kohde/21277963,takkatupa + kk + makuuparvi + lasiveranta,1,NO,158000.0,40.0,1988,158000.0,61.7863973,23.24357,228 km,2 hours 31 mins,2024-07-08,2024-08-05
"Hämeensuontie 393, Maaninka, Kuopio",https://www.etuovi.com/kohde/1373026,"Tupakeittiö, 2mh, wc + sauna / aittarakennus",3,NO,79000.0,40.0,1975,79000.0,63.1660196,27.351941,428 km,4 hours 38 mins,2024-07-08,2024-08-05
"Kaivannontie 580, Koskenpää, Jämsä",https://www.etuovi.com/kohde/w44868,tupakeittiö + alkovi + s + parvi,1,NO,194000.0,52.0,1995,198000.0,62.06153219999999,25.0563155,245 km,3 hours 0 mins,2024-07-08,2024-08-05
"Metsätie 93, Kutajoki, Hollola",https://www.etuovi.com/kohde/580600,"Tupa, mh, kk, parvi",2,NO,229000.0,47.0,2001,229000.0,61.070688,25.709539,115 km,1 hour 17 mins,2024-07-08,2024-08-05
"Vehkansivu, Kuokkala, Savonlinna",https://www.etuovi.com/kohde/w44847,"Tupak, mh, kph, s, wc, et, kuisti, kell, yläkrt 2 vajaakork. h",4,YES,59000.0,70.0,1952,69000.0,61.9887662,29.1072401,358 km,4 hours 4 mins,2024-07-08,2024-08-05
"Majakalliontie 80, Ristiina, Mikkeli",https://www.etuovi.com/kohde/566295,1h,1,NO,129000.0,30.0,1935,129000.0,61.4626761,27.4999621,239 km,2 hours 39 mins,2024-07-08,2024-08-05
"Paasniementie 866, Yläkuona, Savonlinna",https://www.etuovi.com/kohde/21148423,2h + tupa + ph + terassi,3,YES,98000.0,40.0,2008,98000.0,62.10675750000001,29.3976705,378 km,4 hours 20 mins,2024-07-08,2024-08-05
"Vesteriläntie 57, Ehunsalmi, Jämsä",https://www.etuovi.com/kohde/580829,tupa + kk + mh + s + pukuhuone,2,NO,85000.0,29.0,1982,85000.0,62.009674,24.931097,244 km,2 hours 54 mins,2024-07-08,2024-08-05
"Aittolahdentie 4d, Kuohatti, Nurmes",https://www.etuovi.com/kohde/47040757,"2h, k, kph, wc + saunatupa, kph, s + aitta 2h",,YES,117000.0,40.0,1989,117000.0,63.65122849999999,29.4056373,531 km,5 hours 52 mins,2024-07-08,2024-08-05
"Rusolammentie 170, Äitsaari, Ruokolahti",https://www.etuovi.com/kohde/80364817,3h + k,3,NO,188000.0,80.0,1969,188000.0,61.3,28.58333,290 km,3 hours 15 mins,2024-07-08,2024-08-05
"Luhanksaari, Luhanka, Luhanka",https://www.etuovi.com/kohde/580760,"1h, kk, terassi",1,NO,129500.0,30.0,1985,129500.0,61.7827541,25.7027071,231 km,2 hours 33 mins,2024-07-08,2024-08-05
"Lintusalontie (Kurensalo) 1028, Luukkola, Puumala",https://www.etuovi.com/kohde/20292396,"tupa, makuunurkkaus, keittiö, parvella makuutilaa (ei seisomakorkeus)",1,NO,69000.0,32.0,,69000.0,61.4229184,28.0986848,310 km,3 hours 51 mins,2024-07-08,2024-08-05
"Kassinsaari 45, Visuvesi, Ruovesi",https://www.etuovi.com/kohde/580988,Tupa ja makuutila,1,NO,105000.0,19.5,1960,105000.0,62.1238298,23.9211335,260 km,2 hours 50 mins,2024-07-08,2024-08-05
"Riitalankuja 9, Räyskälä, Loppi",https://www.etuovi.com/kohde/80364777,1h + kk + s,1,NO,35000.0,20.0,1972,35000.0,60.7500046,24.0571191,106 km,1 hour 15 mins,2024-07-08,2024-08-05
"Kristallikuja 25, Porras, Tammela",https://www.etuovi.com/kohde/20259295,"1h, tupak., et + rantasauna + at",2,YES,288000.0,40.0,1933,288000.0,60.786967,24.0474195,106 km,1 hour 17 mins,2024-07-08,2024-08-05
"Paakkunalantie, Punkaharju, Vaara, Savonlinna",https://www.etuovi.com/kohde/20090744,Mökki tai huvila,,NO,70000.0,,,0.0,61.7559118,29.3930643,341 km,3 hours 46 mins,2024-07-08,2024-08-05
"Ritoniementie 211, Sulkava",https://www.etuovi.com/kohde/564646,"4h, k, kph, wc, parvi",4,NO,189000.0,80.0,2008,189000.0,61.6502212,28.5766508,327 km,3 hours 38 mins,2024-07-08,2024-08-05
